 epoch , batch , loss , ppl 
1,100,6.555871486663818,703.3618532776989
1,200,6.3355255126953125,564.265853953657
1,300,6.465235710144043,642.4157695149322
1,400,6.765006065368652,866.9714662754369
1,500,6.206914901733398,496.16816010362766
1,600,6.368438720703125,583.1466629721995
1,604,5.773683547973633,321.72062604770673
2,100,5.923428535461426,373.6907319700132
2,200,5.772680282592773,321.39801673971976
2,300,6.0452656745910645,422.10988645866115
2,400,6.391419410705566,596.7029454244018
2,500,5.968443870544434,390.8969110209305
2,600,6.037288665771484,418.75610652176164
2,604,5.453169345855713,233.49702727129198
3,100,5.698827266693115,298.5171146479666
3,200,5.41655158996582,225.1015401514293
3,300,5.740550518035889,311.23570469577464
3,400,6.08323860168457,438.4468525800857
3,500,5.787898063659668,326.3263857044667
3,600,5.782538414001465,324.58206924100995
3,604,5.226934909820557,186.2211432751609
4,100,5.49899959564209,244.4472637929458
4,200,5.151113510131836,172.62360146737598
4,300,5.499965190887451,244.68341490345216
4,400,5.818203926086426,336.367370105648
4,500,5.620445251464844,276.01225073824054
4,600,5.560334205627441,259.90968508885254
4,604,5.038008689880371,154.1627233798152
5,100,5.326705455780029,205.75897423356108
5,200,4.938693523406982,139.5877622342194
5,300,5.283432483673096,197.04506987699799
5,400,5.576557636260986,264.16070163344654
5,500,5.466590881347656,236.65204111396352
5,600,5.3622870445251465,213.2120146346956
5,604,4.861649513244629,129.23720486477023
6,100,5.165172100067139,175.06758512248595
6,200,4.7544779777526855,116.1030289780817
6,300,5.093310832977295,162.92839877458616
6,400,5.354030132293701,211.4587898156247
6,500,5.3194122314453125,204.26378687157302
6,600,5.177667617797852,177.26886968969413
6,604,4.697629928588867,109.68689835788986
7,100,5.004513263702393,149.08450065767124
7,200,4.585892677307129,98.09071142295431
7,300,4.92085075378418,137.1192182721558
7,400,5.14349365234375,171.31323292453803
7,500,5.178144454956055,177.35341823009568
7,600,5.000375270843506,148.46886468566723
7,604,4.541378974914551,93.82008650341577
8,100,4.842930316925049,126.84049052356029
8,200,4.425009250640869,83.51357977260209
8,300,4.749848365783691,115.56675932352962
